series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2011-01-01,Q,quarterly,1748731.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2011-04-01,Q,quarterly,1816268.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2011-07-01,Q,quarterly,1881849.7,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2011-10-01,Q,quarterly,1840786.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2012-01-01,Q,quarterly,1855580.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2012-04-01,Q,quarterly,1929018.7,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2012-07-01,Q,quarterly,1993632.3,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2012-10-01,Q,quarterly,1948852.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2013-01-01,Q,quarterly,1958395.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2013-04-01,Q,quarterly,2036816.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2013-07-01,Q,quarterly,2103598.1,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2013-10-01,Q,quarterly,2057687.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2014-01-01,Q,quarterly,2058584.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2014-04-01,Q,quarterly,2137385.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2014-07-01,Q,quarterly,2207343.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2014-10-01,Q,quarterly,2161552.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2015-01-01,Q,quarterly,2158040.0,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2015-04-01,Q,quarterly,2238704.4,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2015-07-01,Q,quarterly,2312843.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2015-10-01,Q,quarterly,2272929.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2016-01-01,Q,quarterly,2264721.0,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2016-04-01,Q,quarterly,2355445.0,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2016-07-01,Q,quarterly,2429260.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2016-10-01,Q,quarterly,2385186.8,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2017-01-01,Q,quarterly,2378146.4,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2017-04-01,Q,quarterly,2473512.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2017-07-01,Q,quarterly,2552296.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2017-10-01,Q,quarterly,2508971.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2018-01-01,Q,quarterly,2498697.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2018-04-01,Q,quarterly,2603852.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2018-07-01,Q,quarterly,2684332.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2018-10-01,Q,quarterly,2638969.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2019-01-01,Q,quarterly,2625180.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2019-04-01,Q,quarterly,2735414.1,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2019-07-01,Q,quarterly,2818812.7,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2019-10-01,Q,quarterly,2769748.1,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2020-01-01,Q,quarterly,2703027.1,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2020-04-01,Q,quarterly,2589769.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2020-07-01,Q,quarterly,2720481.3,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2020-10-01,Q,quarterly,2709721.7,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2021-01-01,Q,quarterly,2684445.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2021-04-01,Q,quarterly,2773065.2,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2021-07-01,Q,quarterly,2816492.1,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2021-10-01,Q,quarterly,2846056.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2022-01-01,Q,quarterly,2819332.7,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2022-04-01,Q,quarterly,2924441.4,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2022-07-01,Q,quarterly,2977924.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2022-10-01,Q,quarterly,2988548.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2023-01-01,Q,quarterly,2961539.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2023-04-01,Q,quarterly,3075776.6,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2023-07-01,Q,quarterly,3124992.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2023-10-01,Q,quarterly,3139084.5,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2024-01-01,Q,quarterly,3113039.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2024-04-01,Q,quarterly,3230990.3,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2024-07-01,Q,quarterly,3279509.8,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2024-10-01,Q,quarterly,3296741.7,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2025-01-01,Q,quarterly,3264589.8,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2025-04-01,Q,quarterly,3396575.4,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2025-07-01,Q,quarterly,3444898.3,IDR billion
